2024-01-28 01:43:21,610 INFO : log_findings : 168 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 01:44:48,960 INFO : log_findings : 173 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 01:45:04,932 INFO : log_findings : 173 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 01:46:57,235 INFO : log_findings : 173 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 01:47:50,589 INFO : log_findings : 173 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 01:48:32,795 INFO : log_findings : 172 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 12:47:37,963 INFO : log_findings : 173 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:06:48,019 INFO : log_findings : 178 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:07:16,661 INFO : log_findings : 179 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:09:03,146 INFO : log_findings : 179 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:10:01,186 INFO : log_findings : 179 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:14:31,995 INFO : log_findings : 180 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:15:05,525 INFO : log_findings : 180 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:16:28,923 INFO : log_findings : 181 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:21:13,491 INFO : log_findings : 182 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:21:31,601 INFO : log_findings : 182 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:21:55,826 INFO : log_findings : 183 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:22:21,373 INFO : log_findings : 183 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:31:43,000 INFO : log_findings : 185 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:34:13,145 INFO : log_findings : 182 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
2024-01-28 13:37:54,565 INFO : log_findings : 182 :  config= {'version': 1, 'root': {'handlers': ['console', 'file'], 'level': 'DEBUG'}, 'handlers': {'console': {'formatter': 'std_out', 'class': 'logging.StreamHandler', 'stream': 'ext://sys.stdout', 'level': 'DEBUG'}, 'file': {'formatter': 'std_out', 'class': 'logging.FileHandler', 'level': 'INFO', 'filename': 'log_findings.log'}}, 'formatters': {'std_out': {'format': '%(asctime)s %(levelname)s : %(module)s : %(lineno)d : %(message)s'}}, 'file_to_read': '2014-09-03.log'}
